Data,Alg.,adj_Patn,adj_maxf1,adj_ap,auc,AMI,ireos_java,decision_tree_native,decision_tree_sklearn,random_forest_native,random_forest_sklearn,liblinear,xgboost_tree,xgboost_dart,xgboost_linear,libsvm
complex_1,sdo,1.5,1.5,1.5,1.5,1.5,6.0,3.0,2.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0
complex_1,abod,3.5,4.0,4.0,4.0,3.5,3.0,7.0,6.0,2.0,6.0,6.0,7.0,7.0,6.0,7.0
complex_1,hbos,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,7.0,4.0,5.0,5.0,4.0,5.0
complex_1,iforest,3.5,3.0,3.0,3.0,3.5,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0
complex_1,knn,1.5,1.5,1.5,1.5,1.5,5.0,2.0,1.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0
complex_1,lof,7.0,7.0,7.0,7.0,7.0,7.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,7.0,3.0
complex_1,ocsvm,5.0,5.0,5.0,5.0,5.0,1.0,6.0,7.0,3.0,5.0,5.0,6.0,6.0,5.0,6.0
complex_2,sdo,3.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0
complex_2,abod,2.0,2.0,3.0,2.0,3.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0
complex_2,hbos,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0
complex_2,iforest,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0
complex_2,knn,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0
complex_2,lof,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,7.0,6.0,6.0,5.0,4.0,6.0,1.0
complex_2,ocsvm,5.0,4.0,4.0,5.0,5.0,1.0,6.0,6.0,2.0,5.0,5.0,6.0,6.0,5.0,6.0
complex_3,sdo,1.5,1.0,2.0,1.5,1.5,6.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0
complex_3,abod,4.5,4.0,5.0,5.0,5.0,1.0,7.0,6.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0
complex_3,hbos,6.0,6.0,6.0,6.0,6.0,2.0,6.0,7.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0
complex_3,iforest,4.5,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0
complex_3,knn,1.5,2.0,1.0,1.5,1.5,3.0,3.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0
complex_3,lof,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,5.0,5.0,3.0,3.0,5.0,1.0
complex_3,ocsvm,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0
complex_4,sdo,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0
complex_4,abod,3.0,3.0,3.0,3.0,3.0,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0
complex_4,hbos,6.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0,3.0,5.0,6.0,6.0,6.0,6.0,5.0
complex_4,iforest,4.5,4.0,4.0,4.0,4.5,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
complex_4,knn,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0
complex_4,lof,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0
