dataset,clf,adaptive_quads_enabled,window_ratio,is_parallel,time,ireos_sdo,ireos_abod,ireos_hbos,ireos_iforest,ireos_knn,ireos_lof,ireos_ocsvm
high-noise_2,decision_tree_native,false,0.1,false,21.8578444,0.5381576999734828,0.5043083491162995,0.5294885148045045,0.5144236261642006,0.5395953759556351,0.532009685167047,0.5445385240368978
high-noise_2,decision_tree_native,false,0.5,false,57.1044962,0.504068045209928,0.47954864705721156,0.5013897403421187,0.4861472951115198,0.504092814907783,0.4996610678049883,0.5086536419758773
high-noise_2,decision_tree_native,false,1.0,false,147.7936425,0.5050045101112516,0.4491539392863018,0.4877412239890226,0.4164987776239959,0.5059140082278027,0.4758110435214263,0.544239476676402
high-noise_2,decision_tree_sklearn,false,0.1,false,4.8144889,0.9951228139486397,0.7105508677530675,0.9265997482883751,0.7770364448074327,0.9951981985169257,0.930739365321116,1.0106256349130978
high-noise_2,decision_tree_sklearn,false,0.5,false,15.5434317,0.9951102627955062,0.6750838863009014,0.9175529648440218,0.7174867377206061,0.9951607153540548,0.910664188728031,1.0066038830570327
high-noise_2,decision_tree_sklearn,false,1.0,false,66.5808122,0.9497843085985561,0.5605504069850363,0.8331635629482865,0.3197660167094675,0.9482878714507543,0.7552603978589388,1.1863791948123812
high-noise_2,random_forest_native,false,0.1,false,11.5673828,0.06521412583013092,0.05145365510154457,0.08295239041575382,0.08739147841009816,0.0660223380105733,0.07643017343710815,0.1048300098031682
high-noise_2,random_forest_native,false,0.5,false,1387.7309732,0.29743871602331284,0.1773862641565005,0.2477822498787141,0.1644948391476555,0.29748042448320333,0.25465844146394584,0.2932163787430077
high-noise_2,random_forest_native,false,1.0,false,1243.6551193,0.20446041614133104,0.08179638789992638,0.16875422664734704,0.05321175507385473,0.2051108326632805,0.1427401363294272,0.2648099582979825
high-noise_2,random_forest_sklearn,false,0.1,false,69.1604725,0.06521412583013092,0.05145365510154457,0.08295239041575382,0.08739147841009816,0.0660223380105733,0.07643017343710815,0.1048300098031682
high-noise_2,random_forest_sklearn,false,0.5,false,1803.324419,0.29743871602331284,0.1773862641565005,0.2477822498787141,0.1644948391476555,0.29748042448320333,0.25465844146394584,0.2932163787430077
high-noise_2,random_forest_sklearn,false,1.0,false,1717.6049262,0.20446041614133104,0.08179638789992638,0.16875422664734704,0.05321175507385473,0.2051108326632805,0.1427401363294272,0.2648099582979825
high-noise_2,liblinear,false,0.1,false,97.9433977,0.019655504647898173,0.003572054723048846,0.012404913998747465,-0.0020782934287279123,0.019678260395880772,0.01377635087409975,0.02473848464649073
high-noise_2,liblinear,false,0.5,false,80.9929834,0.0004165376123687964,0.0011575887836795021,0.001795991112290964,0.0007787045999452275,0.00042032995268719166,0.0008840547035568397,0.00363361269758766
high-noise_2,liblinear,false,1.0,false,192.9075278,0.009864517028431387,0.0036449309848747553,0.006141395579502295,-0.0012745730023930525,0.009089736396265325,0.005028502445254562,0.01332174603906495
high-noise_2,libsvm,true,1.0,false,7143.8774075,0.0008683074804674248,0.00030054245235143685,0.0005343847047463114,0.0001293372689515725,0.0009622415405948812,0.0004911246826567838,0.000990109184047077
